
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: CARTOXXX.ecu

ECU identified with following data:
HWNumber    = 0261206539       (requested was 0261206539)
SWNumber    = 1037354801       (requested was 1037354801)
PartNumber  = 4B0906018R       (requested was 4B0906018R)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G02

Log packet size: 77 bytes
Logging with:    20 samples/second
Used speed is:   57600 baud
Used mode is:    HM0
Log started at:  07.06.2025 13:32:24.526

TimeStamp, fho_w     , fra_w     , lamfa_w   , lamsbg_w  , lamsoni_w , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldimxak_w , ldptv     , ldrdtv    , ldrlms_w  , ldrlts_w  , ldtv      , ldtvm     , ldtvr_w   , misol_w   , misopl1_w , miszul_w  , mshfm_w   , nmot_w    , plsol_w   , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tmot      , vfil_w    , wdkba     , wdks      , wnwise_w  , wped_w    , zwist     , zwout     
  sec.ms , -         , -         , -         , -         , -         , , , , , , , , , , , , , , , , , , , g/s       , rpm       , mbar      , mbar      , , , , , , °C        , °C        , °C        , km/h      , DK      , DK      , °KW       , PED     , °KW       , °KW       
"TIME","AltitudeCorrectionFactor","AdaptationPartial","TargetAFRDriverRequest","AirFuelRatioDesired","AirFuelRatioCurrent","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","ChargeLimitPID-I","BoostPID-P-Result","BoostPID-D-Result","ChargeLimitEngineProtection","ChargeLimitTurboProtection","WastegateDutyCycleAfterLin","WastegateDutyCycle","WastegateDutyCycleBeforeLin","","","","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","IntakeCamshaftAngle","AccelPedalPosition","IgnitionTimingAngle","IgnitionTimingAngleOverall"
    0.000, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.85      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.484   , 181.406   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.75      , 1763.25   , 999.883   , 1031.84   , 0         , 14.25     , 125.344   , 125.344   , 13.5      , 494.51    , 39        , 93        , 39.25     , 2.35294   , 1.96079   , -0.078125 , 0         , -6.75     , -6.75     
    0.050, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.845     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.484   , 181.406   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.86111   , 1760.5    , 999.883   , 1031.68   , 0         , 14.3203   , 125.367   , 125.367   , 13.5      , 493.534   , 39        , 93        , 39.2188   , 1.96079   , 2.35294   , -0.140625 , 0         , -6.75     , -6.75     
    0.100, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.86      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.484   , 181.406   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.75      , 1751.25   , 999.883   , 1031.64   , 0         , 14.3203   , 125.133   , 125.133   , 13.5      , 493.534   , 39        , 93        , 39.0469   , 1.96079   , 2.35294   , -0.140625 , 0         , -6.75     , -6.75     
    0.150, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.885     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.508   , 180.211   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.91667   , 1750.5    , 999.883   , 1031.25   , 0         , 14.3672   , 125.086   , 125.086   , 13.5      , 493.534   , 39        , 93        , 39.0625   , 1.96079   , 1.96079   , -0.203125 , 0         , -6.75     , -6.75     
    0.200, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.885     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.508   , 180.211   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.77778   , 1752.5    , 999.883   , 1032.03   , 0         , 14.3672   , 125.086   , 125.086   , 13.5      , 493.534   , 39        , 93        , 38.9219   , 1.96079   , 1.96079   , -0.15625  , 0         , -6.75     , -6.75     
    0.250, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.9       , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.531   , 180.258   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.75      , 1745.75   , 999.883   , 1031.33   , 0         , 14.3438   , 124.992   , 124.992   , 13.5      , 492.557   , 39        , 93        , 38.8203   , 1.96079   , 1.96079   , -0.21875  , 0         , -6.75     , -6.75     
    0.300, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.91      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.531   , 180.258   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.55556   , 1741.75   , 999.883   , 1031.21   , 0         , 14.3203   , 124.945   , 124.945   , 13.5      , 492.557   , 39        , 93        , 38.7969   , 1.96079   , 1.96079   , 0.15625   , 0         , -6.75     , -6.75     
    0.350, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.94      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.555   , 180.281   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.91667   , 1736.75   , 999.883   , 1031.09   , 0         , 14.3672   , 124.758   , 124.758   , 13.5      , 492.557   , 39        , 93        , 38.7266   , 1.96079   , 1.96079   , -0.203125 , 0         , -6.75     , -6.75     
    0.400, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.935     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.555   , 180.281   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.88889   , 1735.75   , 999.883   , 1030.63   , 0         , 14.4844   , 124.781   , 124.781   , 13.5      , 492.557   , 39        , 93        , 38.6328   , 1.96079   , 1.96079   , -0.25     , 0         , -6.75     , -6.75     
    0.450, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.96      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.578   , 180.305   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.88889   , 1729      , 999.883   , 1031.68   , 0         , 14.5313   , 124.641   , 124.641   , 13.5      , 491.581   , 39        , 93        , 38.4531   , 1.96079   , 1.96079   , -0.234375 , 0         , -6.75     , -6.75     
    0.500, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.965     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.578   , 180.305   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.86111   , 1728.25   , 999.883   , 1030.35   , 0         , 14.6016   , 124.617   , 124.617   , 13.5      , 491.581   , 39        , 93        , 38.4766   , 1.96079   , 1.96079   , -0.03125  , 0         , -6.75     , -6.75     
    0.550, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.985     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.602   , 180.305   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.91667   , 1722.75   , 999.883   , 1031.8    , 0         , 14.6016   , 124.5     , 124.5     , 13.5      , 491.581   , 39        , 93        , 38.4141   , 1.96079   , 1.96079   , -0.171875 , 0         , -6.75     , -6.75     
    0.600, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 6.99      , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.602   , 180.328   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.72223   , 1720      , 999.883   , 1030.66   , 0         , 14.5313   , 124.477   , 124.477   , 13.5      , 491.581   , 39        , 93        , 38.2656   , 1.96079   , 1.96079   , -0.265625 , 0         , -7.5      , -7.5      
    0.650, 0.987061  , 1.00021   , 1         , 1.04688   , 5.00001   , 0         , 7.035     , 0         , -0.25     , 0         , 0         , 0         , 0         , 0         , 0         , 176.625   , 180.352   , 0         , 0         , 0         , 0         , 0         , 8.59376   , 4.77778   , 1715.75   , 999.883   , 1031.21   , 0         , 14.5547   , 124.336   , 124.336   , 13.5      , 490.604   , 39        , 93        , 38.1953   , 1.96079   , 1.96079   , 0.171875  , 0         , -7.5      , -7.5      
