Time, Speed (MPH), Acceleration, Longitude, Latitude, SatelliteNum, Accuracy, Heading, Altitude
0,0,0,4.242,50.511,12,0,215.6300049,125.8
0.01,0.086,0.003,4.242,50.511,12,0.07,215.6780045,125.8
0.02,0.172,0.006,4.242,50.511,12,0.13,215.726004,125.8
0.03,0.258,0.01,4.242,50.511,12,0.2,215.7740036,125.8
0.04,0.344,0.013,4.242,50.511,12,0.27,215.8220032,125.8
0.05,0.431,0.016,4.242,50.511,12,0.34,215.8700027,125.8
0.06,0.517,0.019,4.242,50.511,12,0.4,215.9180023,125.8
0.07,0.603,0.023,4.242,50.511,12,0.47,215.9660019,125.8
0.08,0.689,0.026,4.242,50.511,12,0.54,216.0140015,125.8
0.09,0.776,0.029,4.242,50.511,12,0.6,216.062001,125.8
0.1,0.862,0.032,4.242,50.51071967,12,0.67,216.1100006,125.8
0.11,0.902,0.048,4.242,50.51071962,12,0.67,215.525,125.8
0.12,0.943,0.063,4.242,50.51071957,12,0.67,214.9399994,125.8
0.13,0.983,0.078,4.242,50.51071952,12,0.67,214.3549988,125.8
0.14,1.024,0.093,4.242,50.51071947,12,0.67,213.7699982,125.8
0.15,1.065,0.108,4.242,50.51071942,12,0.67,213.1849976,125.8
0.16,1.105,0.124,4.242,50.51071937,12,0.67,212.5999969,125.8
0.17,1.145,0.139,4.242,50.51071932,12,0.67,212.0149963,125.8
0.18,1.186,0.154,4.242,50.51071927,12,0.67,211.4299957,125.8
0.19,1.226,0.169,4.242,50.51071922,12,0.67,210.8449951,125.8
0.2,1.266,0.184,4.242,50.51071917,12,0.67,210.2599945,125.8
0.21,1.299,0.181,4.242,50.5107191,12,0.67,210.3449951,125.8
0.22,1.332,0.177,4.242,50.51071903,12,0.66,210.4299957,125.8
0.23,1.365,0.174,4.242,50.51071897,12,0.66,210.5149963,125.8
0.24,1.397,0.17,4.242,50.5107189,12,0.65,210.5999969,125.8
0.25,1.43,0.167,4.242,50.51071883,12,0.65,210.6849976,125.8
0.26,1.463,0.163,4.242,50.51071877,12,0.65,210.7699982,125.8
0.27,1.495,0.16,4.242,50.5107187,12,0.64,210.8549988,125.8
0.28,1.528,0.156,4.242,50.51071863,12,0.64,210.9399994,125.8
0.29,1.56,0.153,4.242,50.51071857,12,0.63,211.025,125.8
0.3,1.593,0.149,4.242,50.5107185,12,0.63,211.1100006,125.8
0.31,1.611,0.142,4.242,50.51071842,12,0.63,210.8029999,125.81
0.32,1.628,0.135,4.242,50.51071833,12,0.63,210.4959991,125.82
0.33,1.646,0.128,4.242,50.51071825,12,0.63,210.1889984,125.83
0.34,1.663,0.121,4.242,50.51071817,12,0.63,209.8819977,125.84
0.35,1.681,0.114,4.242,50.51071808,12,0.63,209.5749969,125.85
0.36,1.698,0.107,4.242,50.510718,12,0.63,209.2679962,125.86
0.37,1.716,0.1,4.242,50.51071792,12,0.63,208.9609955,125.87
0.38,1.733,0.093,4.242,50.51071783,12,0.63,208.6539948,125.88
0.39,1.751,0.087,4.242,50.51071775,12,0.63,208.346994,125.89
0.4,1.768,0.08,4.242,50.51071767,12,0.63,208.0399933,125.9
0.41,1.798,0.085,4.242,50.5107176,12,0.63,208.3729935,125.89
0.42,1.828,0.091,4.242,50.51071753,12,0.63,208.7059937,125.88
0.43,1.858,0.097,4.242,50.51071747,12,0.63,209.0389938,125.87
0.44,1.888,0.102,4.242,50.5107174,12,0.63,209.371994,125.86
0.45,1.918,0.108,4.242,50.51071733,12,0.63,209.7049942,125.85
0.46,1.948,0.114,4.242,50.51071727,12,0.63,210.0379944,125.84
0.47,1.978,0.12,4.242,50.5107172,12,0.63,210.3709946,125.83
0.48,2.008,0.125,4.242,50.51071713,12,0.63,210.7039948,125.82
0.49,2.038,0.131,4.242,50.51071707,12,0.63,211.0369949,125.81
0.5,2.068,0.137,4.242,50.510717,12,0.63,211.3699951,125.8
0.51,2.153,0.162,4.242,50.51071688,12,0.63,211.4929962,125.81
0.52,2.238,0.187,4.242,50.51071677,12,0.63,211.6159973,125.82
0.53,2.323,0.212,4.242,50.51071665,12,0.63,211.7389984,125.83
0.54,2.408,0.237,4.242,50.51071653,12,0.63,211.8619995,125.84
0.55,2.493,0.262,4.242,50.51071642,12,0.63,211.9850006,125.85
0.56,2.578,0.287,4.242,50.5107163,12,0.63,212.1080017,125.86
0.57,2.663,0.312,4.242,50.51071618,12,0.63,212.2310028,125.87
0.58,2.748,0.337,4.242,50.51071607,12,0.63,212.3540039,125.88
0.59,2.833,0.362,4.242,50.51071595,12,0.63,212.477005,125.89
0.6,2.918,0.387,4.242,50.51071583,12,0.63,212.6000061,125.9
0.61,2.935,0.357,4.242,50.51071572,12,0.63,212.6060059,125.9
0.62,2.953,0.326,4.242,50.5107156,12,0.63,212.6120056,125.9
0.63,2.97,0.295,4.242,50.51071548,12,0.63,212.6180054,125.9
0.64,2.988,0.264,4.242,50.51071537,12,0.63,212.6240051,125.9
0.65,3.005,0.233,4.242,50.51071525,12,0.63,212.6300049,125.9
0.66,3.022,0.203,4.242,50.51071513,12,0.63,212.6360046,125.9
0.67,3.04,0.172,4.242,50.51071502,12,0.63,212.6420044,125.9
0.68,3.057,0.141,4.242,50.5107149,12,0.63,212.6480042,125.9
0.69,3.075,0.11,4.242,50.51071478,12,0.63,212.6540039,125.9
0.7,3.092,0.079,4.242,50.51071467,12,0.63,212.6600037,125.9
0.71,3.117,0.083,4.242,50.51071455,12,0.63,212.5730026,125.9
0.72,3.142,0.086,4.242,50.51071443,12,0.63,212.4860016,125.9
0.73,3.167,0.09,4.242,50.51071432,12,0.63,212.3990005,125.9
0.74,3.192,0.093,4.242,50.5107142,12,0.63,212.3119995,125.9
0.75,3.218,0.097,4.242,50.51071408,12,0.63,212.2249985,125.9
0.76,3.242,0.1,4.242,50.51071397,12,0.63,212.1379974,125.9
0.77,3.267,0.104,4.242,50.51071385,12,0.63,212.0509964,125.9
0.78,3.292,0.107,4.242,50.51071373,12,0.63,211.9639954,125.9
0.79,3.318,0.111,4.242,50.51071362,12,0.63,211.8769943,125.9
0.8,3.342,0.114,4.242,50.5107135,12,0.63,211.7899933,125.9
0.81,3.37,0.115,4.242,50.51071337,12,0.63,211.7369934,125.91
0.82,3.397,0.116,4.242,50.51071323,12,0.63,211.6839935,125.92
0.83,3.424,0.117,4.242,50.5107131,12,0.63,211.6309937,125.93
0.84,3.452,0.118,4.242,50.51071297,12,0.63,211.5779938,125.94
0.85,3.48,0.12,4.242,50.51071283,12,0.63,211.5249939,125.95
0.86,3.507,0.121,4.242,50.5107127,12,0.63,211.471994,125.96
0.87,3.534,0.122,4.242,50.51071257,12,0.63,211.4189941,125.97
0.88,3.562,0.123,4.242,50.51071243,12,0.63,211.3659943,125.98
0.89,3.589,0.124,4.242,50.5107123,12,0.63,211.3129944,125.99
0.9,3.617,0.125,4.242,50.51071217,12,0.63,211.2599945,126
0.91,3.705,0.153,4.242,50.51071197,12,0.63,210.8559952,126
0.92,3.794,0.181,4.242,50.51071177,12,0.63,210.4519958,126
0.93,3.882,0.209,4.242,50.51071157,12,0.63,210.0479965,126
0.94,3.971,0.237,4.242,50.51071137,12,0.63,209.6439972,126
0.95,4.06,0.265,4.242,50.51071117,12,0.63,209.2399979,126
0.96,4.148,0.292,4.242,50.51071097,12,0.63,208.8359985,126
0.97,4.237,0.32,4.242,50.51071077,12,0.63,208.4319992,126
0.98,4.326,0.348,4.242,50.51071057,12,0.63,208.0279999,126
0.99,4.414,0.376,4.242,50.51071037,12,0.63,207.6240005,126
1,4.503,0.404,4.242,50.51071017,12,0.63,207.2200012,126
1.01,4.548,0.384,4.242,50.51070998,12,0.63,207.1610016,126
1.02,4.593,0.364,4.242,50.5107098,12,0.63,207.102002,126
1.03,4.637,0.344,4.242,50.51070962,12,0.63,207.0430023,126
1.04,4.682,0.324,4.242,50.51070943,12,0.63,206.9840027,126
1.05,4.728,0.304,4.242,50.51070925,12,0.63,206.9250031,126
1.06,4.772,0.284,4.242,50.51070907,12,0.63,206.8660034,126
1.07,4.817,0.264,4.242,50.51070888,12,0.63,206.8070038,126
1.08,4.862,0.244,4.242,50.5107087,12,0.63,206.7480042,126
1.09,4.906,0.224,4.242,50.51070852,12,0.63,206.6890045,126
1.1,4.951,0.204,4.242166,50.51070833,12,0.63,206.6300049,126
1.11,4.975,0.195,4.2421659,50.51070812,12,0.63,206.4820038,126
1.12,5,0.185,4.2421657,50.5107079,12,0.63,206.3340027,126
1.13,5.024,0.176,4.2421656,50.51070768,12,0.63,206.1860016,126
1.14,5.048,0.167,4.2421654,50.51070747,12,0.63,206.0380005,126
1.15,5.072,0.157,4.2421653,50.51070725,12,0.63,205.8899994,126
1.16,5.096,0.148,4.2421651,50.51070703,12,0.63,205.7419983,126
1.17,5.12,0.138,4.242165,50.51070682,12,0.63,205.5939972,126
1.18,5.144,0.129,4.2421648,50.5107066,12,0.63,205.4459961,126
1.19,5.169,0.12,4.2421647,50.51070638,12,0.63,205.297995,126
1.2,5.193,0.11,4.2421645,50.51070617,12,0.63,205.1499939,126
1.21,5.298,0.147,4.2421644,50.51070588,12,0.63,204.4899948,126
1.22,5.402,0.184,4.2421643,50.5107056,12,0.63,203.8299957,126
1.23,5.507,0.22,4.2421642,50.51070532,12,0.63,203.1699966,126
1.24,5.612,0.257,4.2421641,50.51070503,12,0.63,202.5099976,126
1.25,5.717,0.294,4.242164,50.51070475,12,0.63,201.8499985,126
1.26,5.822,0.331,4.2421639,50.51070447,12,0.63,201.1899994,126
1.27,5.927,0.368,4.2421638,50.51070418,12,0.63,200.5300003,126
1.28,6.032,0.404,4.2421637,50.5107039,12,0.63,199.8700012,126
1.29,6.136,0.441,4.2421636,50.51070362,12,0.63,199.2100021,126
1.3,6.241,0.478,4.242,50.511,12,0.63,198.5500031,126
1.31,6.218,0.419,4.242,50.511,12,0.63,198.4690033,126
1.32,6.193,0.36,4.242,50.511,12,0.63,198.3880035,126
1.33,6.17,0.302,4.242,50.511,12,0.63,198.3070038,126
1.34,6.145,0.243,4.242,50.511,12,0.63,198.226004,126
1.35,6.121,0.184,4.242,50.511,12,0.63,198.1450043,126
1.36,6.098,0.126,4.242,50.511,12,0.63,198.0640045,126
1.37,6.073,0.067,4.242,50.511,12,0.63,197.9830048,126
1.38,6.05,0.008,4.242,50.511,12,0.63,197.902005,126
1.39,6.026,-0.05,4.242,50.511,12,0.63,197.8210052,126
1.4,6.002,-0.109,4.242,50.511,12,0.63,197.7400055,126
1.41,6.074,-0.065,4.242,50.511,12,0.63,197.3450043,126
1.42,6.146,-0.021,4.242,50.511,12,0.63,196.9500031,126
1.43,6.219,0.022,4.242,50.511,12,0.63,196.5550018,126
1.44,6.291,0.066,4.242,50.511,12,0.63,196.1600006,126
1.45,6.363,0.11,4.242,50.511,12,0.63,195.7649994,126
1.46,6.435,0.154,4.242,50.511,12,0.63,195.3699982,126
1.47,6.507,0.198,4.242,50.511,12,0.63,194.9749969,126
1.48,6.58,0.242,4.242,50.511,12,0.63,194.5799957,126
1.49,6.652,0.285,4.242,50.511,12,0.63,194.1849945,126
1.5,6.724,0.329,4.242,50.511,12,0.63,193.7899933,126
1.51,6.79,0.327,4.242,50.511,12,0.63,193.2499939,126
1.52,6.857,0.324,4.242,50.511,12,0.63,192.7099945,126
1.53,6.923,0.321,4.242,50.511,12,0.63,192.1699951,126
1.54,6.99,0.319,4.242,50.511,12,0.63,191.6299957,126
1.55,7.056,0.316,4.242,50.511,12,0.63,191.0899963,126
1.56,7.122,0.313,4.242,50.511,12,0.63,190.5499969,126
1.57,7.189,0.311,4.242,50.511,12,0.63,190.0099976,126
1.58,7.255,0.308,4.242,50.511,12,0.63,189.4699982,126
1.59,7.322,0.305,4.242,50.511,12,0.63,188.9299988,126
1.6,7.388,0.303,4.242,50.511,12,0.63,188.3899994,126
1.61,7.419,0.287,4.242,50.511,12,0.63,187.8639999,126
1.62,7.45,0.271,4.242,50.511,12,0.63,187.3380005,126
1.63,7.481,0.254,4.242,50.511,12,0.63,186.812001,126
1.64,7.512,0.238,4.242,50.511,12,0.63,186.2860016,126
1.65,7.544,0.222,4.242,50.511,12,0.63,185.7600021,126
1.66,7.574,0.206,4.242,50.511,12,0.63,185.2340027,126
1.67,7.605,0.19,4.242,50.511,12,0.63,184.7080032,126
1.68,7.636,0.174,4.242,50.511,12,0.63,184.1820038,126
1.69,7.667,0.157,4.242,50.511,12,0.63,183.6560043,126
1.7,7.698,0.141,4.242,50.511,12,0.63,183.1300049,126
1.71,7.742,0.147,4.242,50.511,12,0.63,182.7690048,126
1.72,7.785,0.153,4.242,50.511,12,0.63,182.4080048,126
1.73,7.828,0.158,4.242,50.511,12,0.63,182.0470047,126
1.74,7.872,0.164,4.242,50.511,12,0.63,181.6860046,126
1.75,7.915,0.17,4.242,50.511,12,0.63,181.3250046,126
1.76,7.959,0.175,4.242,50.511,12,0.63,180.9640045,126
