Saturday,3,April,2021,15:49:11:00009-VCID:64C71997F45BB6A697-4B18,VCDS Version: Release 20.4.2,Data version: 20200730 DS317.0,,,,,,
045 906 019 BP,,1.4l R3 EDC 0000SG  8395,,,,,,,,,,
,,,,,,,,,,,,
,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine Speed,Vehicle speed,,,,,,,,,
,TIME,(G28),,,,TIME,,,,,TIME,
Marker,STAMP, /min,,,,STAMP,,,,,STAMP,
,6.68,1600,41.56906596,,,,,,,,,
,7.5,1800,46.7651992,,,,,,,,,
,8.04,2000,51.96133245,,,,,,,,,
,8.44,2200,57.15746569,,,,,,,,,
,8.78,2400,62.35359894,,,,,,,,,
,9.08,2600,67.54973218,,,,,,,,,
,9.38,2800,72.74586543,,,,,,,,,
,9.68,3000,77.94199867,,,,,,,,,
,10.03,3200,83.13813192,,,,,,,,,
,10.55,3500,90.93233179,,,,,,,,,
,10.74,3600,93.53039841,,,,,,,,,
,11.1,3800,98.72653165,,,,,,,,,
,11.5,4000,103.9226649,,,,,,,,,
,11.94,4200,109.1187981,,,,,,,,,
,12.17,4300,111.7168648,,,,,,,,,
,12.93,4600,119.5110646,,,,,,,,,
,13.54,4800,124.7071979,,,,,,,,,
,14.12,5000,129.9033311,,,,,,,,,
,14.9,4900,127.3052645,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
