Friday,14,February,2025,15:20:36:00009-VCID:6CD771B71C8BFEF607-4B18,VCDS Version: Release 24.7.1,Data version: 20240919 DS356.3,,,,
038 906 019 NJ,,1.9l R4 EDC G200SG  6412,,,,,,,,
,,,,,,,,,,
,Group A:,'019,,,,,,,,
,,RPM,Temperature,Mass Air / Rev.,(no units),,,,,
,TIME,,,,,,,,,
Marker,STAMP,RPM,IAT,Actual MAF,Boost abs,Air density,MAF Theorique,VE,,
,0.01,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,0.32,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,presssion abs
,0.63,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,102700
,0.95,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,1.28,882,14.4,393.8,995.4,1.244218042,587.0464588,67.0815732,,
,1.61,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,1.93,882,14.4,381.3,995.4,1.244218042,587.0464588,64.95226984,,
,2.24,882,14.4,387.5,995.4,1.244218042,587.0464588,66.00840431,,
,2.55,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,2.87,882,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,3.18,903,14.4,375,995.4,1.244218042,587.0464588,63.87910094,,
,3.51,1155,14.4,356.3,995.4,1.244218042,587.0464588,60.69366311,,
,3.84,1197,14.4,450,1011.2,1.244218042,596.3646566,75.45718799,,
,4.16,1071,14.4,437.5,1042.8,1.244218042,615.0010521,71.13808969,,
,4.47,1050,14.4,431.3,1074.4,1.244218042,633.6374476,68.06731541,,
,4.79,1134,15.3,431.3,1106,1.240335926,650.2386673,66.32949126,,
,5.1,1155,15.3,431.3,1137.6,1.240335926,668.816915,64.48700539,,
,5.42,1344,15.3,500,1169.2,1.240335926,687.3951626,72.73836466,,
,5.75,1533,15.3,562.5,1232.4,1.240335926,724.5516579,77.63421612,,
,6.08,1701,15.3,618.8,1327.2,1.240335926,780.2864008,79.30421437,,
,6.39,1848,15.3,675,1437.8,1.240335926,845.3102675,79.85233658,,
,6.71,1995,15.3,706.3,1532.6,1.240335926,901.0450104,78.38676113,,
,7.03,2121,15.3,668.8,1548.4,1.240335926,910.3341343,73.46752965,,
,7.36,2247,15.3,650,1532.6,1.240335926,901.0450104,72.13846062,,
,7.67,2352,15.3,656.3,1516.8,1.240335926,891.7558866,73.59637428,,
,7.99,2079,15.3,587.5,1437.8,1.240335926,845.3102675,69.50110777,,
,8.3,1617,15.3,550,1390.4,1.240335926,817.4428961,67.28298731,,
,8.62,1197,15.3,500,1295.6,1.240335926,761.7081531,65.64193884,,
,8.95,903,15.3,412.5,1216.6,1.240335926,715.2625341,57.67113198,,
,9.28,903,15.3,350,1137.6,1.240335926,668.816915,52.33121235,,
,9.61,903,15.3,375,1090.2,1.240335926,640.9495435,58.50694548,,
,9.92,903,15.3,381.3,1058.6,1.240335926,622.3712959,61.26567895,,
,10.24,882,15.3,375,1042.8,1.240335926,613.082172,61.1663521,,
,10.55,882,15.3,393.8,1027,1.240335926,603.7930482,65.22102253,,
,10.87,882,15.3,375,1027,1.240335926,603.7930482,62.1073729,,
,11.2,882,15.3,362.5,1011.2,1.240335926,594.5039244,60.97520725,,
,11.52,882,15.3,387.5,1011.2,1.240335926,594.5039244,65.18039395,,
,11.83,903,15.3,381.3,1011.2,1.240335926,594.5039244,64.13750765,,
